Title,Start,End,Location,UID,URL,Description,Recurrence Rule,Status
Tunes at Tidelands,20250904T170000,20250904T190000,,1e229fdb-fa5d-4231-97ff-676bce2056b6-time.ly,https://events.timely.fun/kio519aj/event/78081100/20250904170000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/mb-seniors_uomI.jpeg' /></div><p><span style='color:#243746\;font-size:11pt\;font-family:arial\, helvetica\, sans-serif\;background-color:#ffffff\;'>From Morro Bay Senior Citizens\, Inc.:</span></p>\n<p><span style='font-size:11pt\;'><span style='color:#243746\;font-family:arial\, helvetica\, sans-serif\;background-color:#ffffff\;'>Tunes at Tidelands is a free concert series being hosted by the Morro Bay Active Adults </span><span style='color:#243746\;font-family:arial\, helvetica\, sans-serif\;background-color:#ffffff\;'>55+ and the City of Morro Bay. The 4-week concert package (TBD) runs every Thursday night through the month of September. </span></span></p>\n<p><span style='color:#243746\;font-size:11pt\;font-family:arial\, helvetica\, sans-serif\;background-color:#ffffff\;'>More info:</span></p>\n<p><span style='color:#243746\;font-size:11pt\;font-family:arial\, helvetica\, sans-serif\;background-color:#ffffff\;'><span style='font-family:Arial\;'>cyndembaanl@gmail.com</span></span></p>\n<p><span style='color:#243746\;font-size:11pt\;font-family:arial\, helvetica\, sans-serif\;background-color:#ffffff\;'><span style='font-family:Arial\;'>(805) 772-4421</span></span></p>",FREQ=WEEKLY;UNTIL=20250925T235959Z;BYDAY=TH;WKST=SU,CONFIRMED
Creeks to Coast Cleanup,20250920,20250921,,67be5506-cf19-4842-aeb4-c58fa46cc87a-time.ly,https://events.timely.fun/kio519aj/event/77931854/20250920000000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/ecoslo_lanf.jpeg' /></div><p><span style='font-size:10pt\;font-family:Arial\;'>ECOSLO’s annual Creeks to Coast Cleanup is SLO County’s largest volunteer event as part of Coastal Cleanup Day! ECOSLO has served as the SLO County Coordinator since 2005. This annual volunteer event empowers community members in SLO County to come together to protect our waterways\, communities\, wildlife\, and our neighbors. </span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='https://www.ecoslo.com/creeks-to-coast' rel='nofollow noreferrer noopener' target='_blank'>https://www.ecoslo.com/creeks-to-coast</a></span></span></p>",,CONFIRMED
Sip for Smiles,20251012T140000,20251012T235959,,991d4098-3911-4a5f-9aed-0d6e42726981-time.ly,https://events.timely.fun/kio519aj/event/77931861/20251012140000,<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/TCDF_Logo_bS0G.png' /></div><p>From Tolosa Children's Dental Center: </p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>This event will take place at Filipponi Ranch Winery in SLO at 2 pm. Our event is another opportunity to raise money for our non-profit organization. Tolosa Children's Dental Center (TCDC) provides quality dental care for underserved children throughout SLO County. </span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='https://tolosachildrensdental.org/events/' rel='nofollow noreferrer noopener' target='_blank'>https://tolosachildrensdental.org/events/</a></span></span></p>,,CONFIRMED
SLO Pickle Festival,20251004,20251005,,eab0241d-d31e-485d-917c-8bffa3c0f3cd-time.ly,https://events.timely.fun/kio519aj/event/77945677/20251004000000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/Asset-1_HRPp.png' /></div><p><span style='color:#202124\;font-family:Roboto\, Arial\, sans-serif\;background-color:#ffffff\;'>From Meals That Connect:</span></p>\n<p><span style='color:#202124\;font-family:Roboto\, Arial\, sans-serif\;background-color:#ffffff\;'>We’re thrilled to announce the SLO Pickle Festival\, happening this October! It’s going to be a jam-packed day filled with pickle-themed games\, delicious food\, live music\, and so much more. Every ticket sold helps support the Meals That Connect program\, providing nutritious meals to our beloved senior community. So\, mark your calendars and get ready for a dill-lightful day!</span></p>\n<p><span style='color:#202124\;font-family:Roboto\, Arial\, sans-serif\;background-color:#ffffff\;'>More Info:</span></p>\n<p><span style='color:#202124\;font-family:Roboto\, Arial\, sans-serif\;background-color:#ffffff\;'>www.slopicklefestival.org</span></p>",,CONFIRMED
Golf Tournament,20251017T080000,20251017T160000,,5e6db5c4-0acc-4936-a8f5-920ea2ef5ff1-time.ly,https://events.timely.fun/kio519aj/event/77960130/20251017080000,<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/homebuilders_uACr.jpeg' /></div><p><span style='font-size:10pt\;font-family:Arial\;'>From Home Builders Association of the Central Coast:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>Sign up starts May 15 for the best golf tournament on the Central Coast! We have tee sponsorships available and 36 foursomes. Your won't want to miss this FUNdraiser that supports our NAHB Student Chapters at Cal Poly and Paso Robles High School as well as our BITA program and Professional Women in Building.</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='https://www.hbacc.org/events-and-meetings' rel='nofollow noreferrer noopener' target='_blank'>https://www.hbacc.org/events-and-meetings</a></span></span></p>,,CONFIRMED
The 6th Annual Butterfly Ball,20250927T160000,20250927T200000,,cfc9a71e-a2a4-44b9-96b1-1e237cece1de-time.ly,https://events.timely.fun/kio519aj/event/77988329/20250927160000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/CCSPA_Large_zsDB.jpg' /></div><p><span style='font-size:10pt\;font-family:Arial\;'>The time has come for Central Coast State Parks Association’s (CCSPA) 6th Annual Butterfly Ball! Please join us for an evening of music\, food & drink\, inspiring presentations\, and silent auction to support the 10 state parks in San Luis Obispo! This year’s gala will directly fund the educational\, interpretive\, and volunteer programs that inspire the current and future generations of environmental stewards! We hope to see you in your finest monarch attire for this elegant and inspirational evening!</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='https://centralcoastparks.org/butterfly-ball/' rel='nofollow noreferrer noopener' target='_blank'>https://centralcoastparks.org/butterfly-ball/</a></span></span></p>",,CONFIRMED
Live Oak Music Festival,20260619,20260622,,9bb08c8b-cb73-40e5-871a-3af1b33d0647-time.ly,https://events.timely.fun/kio519aj/event/77989120/20260619000000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/kcbx_IuYK.png' /></div><p><span style='font-size:10pt\;font-family:Arial\;'>From KCBX:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>The Live Oak Music Festival is three days of eclectic music\, food\, beverages\, and family activities every Father's Day Weekend at El Chorro Regional Park. Tickets include full festival camping passes and single day tickets. World-class performers from around the globe play genres as diverse as funk\, soul\, folk\, blues\, Americana\, jazz\, roots rock\, gospel\, bluegrass\, world music and more. Attendees can also enjoy yoga\, jamming workshops\, a kids' talent show\, crafts\, an ArtWalk\, a beer & wine garden\, food trucks and more. Live Oak benefits KCBX Central Coast Public Radio.</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='https://www.liveoakfest.org/' rel='nofollow noreferrer noopener' target='_blank'>https://www.liveoakfest.org/</a></span></span></p>",,CONFIRMED
Empty Bowls Community Luncheon,20251009,20251010,,a3ff9cdb-e1bb-40c0-824d-50f6a181e348-time.ly,https://events.timely.fun/kio519aj/event/78014817/20251009000000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/5citieshomeless_a6IQ.jpeg' /></div><p><span style='font-size:10pt\;font-family:Arial\;'>From 5 Cities Homeless Coalition:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>Join us for our Fourteenth Annual Empty Bowls! Empty Bowls benefits families who are homeless or are facing homelessness. We are happy to announce this year's luncheon will be back in person! Enjoy the afternoon picking out the very best bowl to eat the very best local soups. Community celebrity servers will be on hand to make your dining experience a sure delight. Don't miss out on the delectable raffle. You will be a winner\, no matter what\, when you take home your wonderfully artistic bowl and engage with other community-minded neighbors!</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='font-size:10pt\;'>erin.roullard@5chc.org</span></span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='font-size:10pt\;'>805-458-3314</span></span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='http://www.5chc.org/events/empty-bowls-community-luncheon-in-person-2025' rel='nofollow noreferrer noopener' target='_blank'>www.5chc.org/events/empty-bowls-community-luncheon-in-person-2025</a></span></span></p>",,CONFIRMED
Giving Tuesday Banquet,20251118T163000,20251118T200000,,84217946-a6e9-45ba-abce-f82617d55f86-time.ly,https://events.timely.fun/kio519aj/event/78014818/20251118163000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/5citieshomeless_a6IQ.jpeg' /></div><p><span style='font-size:10pt\;font-family:Arial\;'>From 5Cities Homeless Coalition:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>Come celebrate Giving Tuesday and “Dinner for a Cause” Banquet in the tent at Pismo Beach Golf Course\, 9 Le Sage Dr\, Grover Beach\, CA 93433. From 4:30 pm to 8 pm\, there will be dinner\, dancing\, and so many ways to support! 100% of all proceeds benefit the 5Cities Homeless Coalition. Seats are limited and tickets must be purchased in advance of this lovely\, seated event.</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='font-size:10pt\;'>erin.roullard@5chc.org</span></span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='font-size:10pt\;'>805-458-3314</span></span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='http://www.5chc.org/events/giving-tuesday-banquet-2025' rel='nofollow noreferrer noopener' target='_blank'>www.5chc.org/events/giving-tuesday-banquet-2025</a></span></span></p>",,CONFIRMED
2026 Dream Big Annual Gala Fundraiser,20260328T130000,20260328T160000,,1447a0fb-41bf-4021-a913-54fbbc684764-time.ly,https://events.timely.fun/kio519aj/event/78036175/20260328130000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/club-logo-with-locations_QCEu.jpg' /></div><p><span style='font-size:10pt\;font-family:Arial\;'>From Boys & Girls Clubs of South San Luis Obispo County:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>Join us for the 2026 Dream Big Annual Gala on Saturday\, March 28\, 2026\, from 1–4 PM at the Pismo Beach Veterans Memorial Hall. We’re proud to honor Jack and Jayne Smith with the Betsey Kelton Changemakers Award for their inspiring commitment to youth. This special event supports the Boys & Girls Clubs of South SLO County and celebrates the impact of our programs. Your presence helps ensure more youth across South SLO have access to safe spaces\, caring mentors\, and life-changing opportunities.</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='https://www.bgcslo.org/dreambig.html' rel='nofollow noreferrer noopener' target='_blank'>https://www.bgcslo.org/dreambig.html</a></span></span></p>",,CONFIRMED
4th Annual Big Night Out at the Melodrama,20251030T150000,20251030T160000,,02771a1b-8ff4-420a-bbea-af10dd1f8804-time.ly,https://events.timely.fun/kio519aj/event/78036178/20251030150000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/club-logo-with-locations_QCEu.jpg' /></div><p><span style='font-size:10pt\;font-family:Arial\;'>From Boys & Girls Clubs of South San Luis Obispo County:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>Join us for the 4th Annual Big Night Out at the Great American Melodrama on October 30\, 2025! Enjoy a night of laughter\, costumes\, and community as we support youth across South SLO County. Every ticket helps provide safe spaces\, caring mentors\, and life-changing programs at the Boys & Girls Clubs. Don’t miss the hilarious performance of Bonnie & Hyde\, a spirited costume contest\, and tasty treats—all for a great cause. It’s more than a show—it’s a night that gives back.</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='https://www.bgcslo.org/bignightout.html' rel='nofollow noreferrer noopener' target='_blank'>https://www.bgcslo.org/bignightout.html</a></span></span></p>",,CONFIRMED
Pops by the Sea: Hollywood Hits,20250830T160000,20250830T235959,,984b88c0-2c6b-4c0b-947c-4228491afba2-time.ly,https://events.timely.fun/kio519aj/event/78042480/20250830160000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/SLOsymphony_1IO4.jpeg' /></div><p><span style='font-size:10pt\;font-family:Arial\;'>Join the San Luis Obispo Symphony for Pops by the Sea: Hollywood Hits on August 30\, 2025\, at the Avila Beach Golf Resort. Enjoy iconic soundtracks from Star Wars\, Harry Potter\, Lord of the Rings\, and Pirates of the Caribbean by legendary composers John Williams\, Howard Shore\, Hans Zimmer\, and Klaus Badelt. Set by the sea\, this outdoor concert is a fan-favorite summer tradition for movie and music lovers alike. Don’t miss this magical night under the stars! Tickets available now at slosymphony.org.</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='https://my805tix.com/e/pops-2025' rel='nofollow noreferrer noopener' target='_blank'>https://my805tix.com/e/pops-2025</a></span></span></p>",,CONFIRMED
"Bloody Mary Battle\, Burritos and Bovine Bingo",20250823,20250824,,eba332a9-c4ff-448d-b6f7-c34c51d526e9-time.ly,https://events.timely.fun/kio519aj/event/78055325/20250823000000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/crestonmensclub_oGx1.png' /></div><p><span style='font-size:10pt\;font-family:Arial\;'>From <span style='font-size:10pt\;'>Creston Men's Club:</span></span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>Join the top mixologists on the Central Coast as they battle out for the coveted prize of the best Bloody Mary in Creston. Join us for a day of Bloody Mary tasting\, burritos\, live music and bovine bingo. This event benefits the Creston Women’s Club and Creston Men’s Club\, both nonprofits serving our local community.</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='https://www.crestonbloodymarybattle.com/' rel='nofollow noreferrer noopener' target='_blank'>https://www.crestonbloodymarybattle.com/</a></span></span></p>",,CONFIRMED
Swinging by the Sea,20250920T133000,20250920T170000,,891b4eeb-dc11-4dfe-941b-013532d19a92-time.ly,https://events.timely.fun/kio519aj/event/78061211/20250920133000,"<p><span style='font-family:arial\, helvetica\, sans-serif\;'>From Chapman Estate Foundation: </span></p>\n<p><span style='font-family:arial\, helvetica\, sans-serif\;'>Enjoy wine\, food\, music\, seaside views\, ocean breezes\, and live and silent auctions at the Chapman Estate in Shell Beach on Saturday\, September 20\, 2025\, from 1:30 to 5 PM. Proceeds support the preservation\, maintenance\, and operation of the blufftop Chapman Estate—its iconic Tudor home\, historic eclectic art collections\, and gardens—as a community asset and public meeting place.</span></p>\n<p><span style='font-size:10pt\;font-family:arial\, helvetica\, sans-serif\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:arial\, helvetica\, sans-serif\;'><span style='color:#1155cc\;font-size:10pt\;font-family:Arial\;text-decoration:underline\;'><a class='in-cell-link' href='https://event.auctria.com/db5d79a9-a513-421a-b1f9-8f03c91760dc/' rel='nofollow noreferrer noopener' target='_blank'>https://event.auctria.com/db5d79a9-a513-421a-b1f9-8f03c91760dc/</a></span></span></p>",,CONFIRMED
"Lumina Days: Fashion\, Fun\, and Philanthropy",20251004,20251005,,748dd853-70cf-404e-9125-615ebb68028f-time.ly,https://events.timely.fun/kio519aj/event/78074907/20251004000000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/lumina_TT92.png' /></div><p><span style='font-size:10pt\;font-family:Arial\;'>From Lumina Alliance:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>Step into a legacy of empowerment and elegance at Lumina Days\, a reimagined celebration inspired by Fashions for a Purpose. Held each October at the Dana Adobe\, this fashion show features curated looks modeled by local leaders\, personalized guest service\, and a vibrant community atmosphere. Guests enjoy shopping from Muse Markets\, wines from South County\, and a catered lunch with seasonal flavors. Radiant and rooted\, Lumina Days is where style meets purpose—and showing up for one another never goes out of fashion.</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='http://luminadays.org' rel='nofollow noreferrer noopener' target='_blank'>luminadays.org</a></span></span></p>",,CONFIRMED
Libations at the Lighthouse,20250920T150000,20250920T173000,,502d93c8-32f1-489b-b003-796e9205bd70-time.ly,https://events.timely.fun/kio519aj/event/78077124/20250920150000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/piedras_T0GU.jpeg' /></div><p><span style='font-size:10pt\;font-family:Arial\;'>From <span style='font-size:10pt\;'>Piedras Blancas Light Station Association:</span></span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>Libations at the Lighthouse\, the annual fundraiser for the Piedras Blancas Light Station\, is a casual afternoon surrounded by history and natural beauty. This year’s event will be held on Saturday\, September 20\, 3 - 5:30 p.m. Guests can enjoy wine donated and poured by Harmony Cellars\, appetizers and charcuterie by LouLou Cheese Girl\, and sweet treats by Seabreeze Cupcakes\, as well as music by Adrian Libertini and a silent auction. Early-bird tickets are $90 per person (plus $8 service fee) until August 13\, then $100 per person (plus $8 service fee) until sold out.</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'>More info:</span></p>\n<p><span style='font-size:10pt\;font-family:Arial\;'><span style='color:#1155cc\;font-size:10pt\;text-decoration:underline\;'><a class='in-cell-link' href='https://piedrasblancas.org/libations-at-the-lighthouse' rel='nofollow noreferrer noopener' target='_blank'>https://piedrasblancas.org/libations-at-the-lighthouse</a></span></span></p>",,CONFIRMED
Building Strong Foundations,20250924T073000,20250924T100000,,bd60274a-75ed-427c-8d19-72393eb05e59-time.ly,https://events.timely.fun/kio519aj/event/78101895/20250924073000,"<div class='ai1ec-event-avatar alignleft timely'><img src='https://timelyapp-prod.s3.us-west-2.amazonaws.com/images/54752629/htf-logo-square-original_8HMV.jpg' /></div><p><span style='color:#000000\;font-family:verdana\, geneva\, sans-serif\;background-color:#ffffff\;'>This breakfast panel event will provide a real-world look at how affordable housing is created in San Luis Obispo County — from land acquisition to entitlement\, financing\, and construction — through the voices of those doing the work.</span></p>\n<p>More info:</p>\n<p><span style='color:#1155cc\;font-size:10pt\;font-family:Arial\;text-decoration:underline\;'><a class='in-cell-link' href='http://www.slochtf.org' rel='nofollow noreferrer noopener' target='_blank'>www.slochtf.org</a></span></p>",,CONFIRMED
